City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
140,Balakhta,RU,55.38,91.6,-3.3,99,38,2.21,scattered clouds
141,Kudahuvadhoo,MV,2.6708,72.8944,81.64,66,30,6.58,scattered clouds
142,Kamenka,RU,51.3223,42.7678,23.36,86,100,19.04,overcast clouds
143,Teya,RU,60.3778,92.6267,-7.67,100,99,3.6,overcast clouds
144,Bridlington,GB,54.0831,-0.1919,47.52,98,23,1.01,few clouds
145,Skorodnoye,RU,51.071,37.2276,23.9,67,38,14.88,scattered clouds
146,Clyde River,CA,70.4692,-68.5914,-3.68,96,99,4.21,overcast clouds
147,Grindavik,IS,63.8424,-22.4338,41.47,87,100,13.8,overcast clouds
148,Vardo,NO,70.3705,31.1107,26.38,54,100,9.04,light snow
149,Oistins,BB,13.0667,-59.5333,77.18,73,94,16.84,overcast clouds
150,Fort Nelson,CA,58.8053,-122.7002,30.97,89,100,0.87,overcast clouds
151,Harper,LR,4.375,-7.7169,79.99,88,79,4.56,broken clouds
152,Ilulissat,GL,69.2167,-51.1,20.48,64,59,9.51,broken clouds
153,Bambous Virieux,MU,-20.3428,57.7575,76.21,72,9,6.85,clear sky
154,Voh,NC,-20.9667,164.7,84.25,61,44,5.41,scattered clouds
155,Brownsville,US,25.9018,-97.4975,76.08,57,0,23.02,clear sky
156,Naze,JP,28.3667,129.4833,63.16,60,96,15.39,overcast clouds
157,Punto Fijo,VE,11.6956,-70.1996,78.67,78,36,29.12,scattered clouds
158,Pecos,US,31.4229,-103.4932,93.29,3,0,4.61,clear sky
159,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,73.56,99,100,2.53,overcast clouds
160,Posse,BR,-14.0931,-46.3694,76.01,49,66,6.53,broken clouds
161,Rio Grande City,US,26.3798,-98.8203,79.11,30,47,19.39,scattered clouds
162,Fare,PF,-16.7,-151.0167,82.17,72,37,12.59,scattered clouds
163,Seoul,KR,37.5683,126.9778,42.24,22,31,0.58,scattered clouds
164,Narsaq,GL,60.9167,-46.05,41.22,67,81,7.83,broken clouds
165,Sijunjung,ID,-0.6876,100.9537,69.85,72,80,1.41,broken clouds
166,Guerrero Negro,MX,27.9769,-114.0611,68.4,56,100,12.41,overcast clouds
167,Cootamundra,AU,-34.65,148.0333,75.94,54,52,5.35,broken clouds
168,Moa,CU,20.6569,-74.9403,73.42,68,67,10.04,broken clouds
169,Northam,GB,51.0333,-4.2167,48.38,89,0,7.29,clear sky
170,Hambantota,LK,6.1241,81.1185,77.61,87,14,5.75,few clouds
171,Seybaplaya,MX,19.65,-90.6667,76.46,62,20,14.23,few clouds
172,Bani,DO,18.2833,-70.3333,79.86,78,89,2.84,overcast clouds
173,Mehamn,NO,71.0357,27.8492,21.69,81,99,6.06,light snow
174,Coihaique,CL,-45.5752,-72.0662,48.15,87,75,10.36,light rain
175,Marabba,SD,12.35,32.1833,76.53,12,11,14.7,few clouds
176,Tessalit,ML,20.1986,1.0114,81.14,10,39,8.81,scattered clouds
177,Vanimo,PG,-2.6741,141.3028,85.01,65,90,4.45,overcast clouds
178,Jiujiang,CN,29.7333,115.9833,57.9,69,94,5.3,overcast clouds
179,Taganak,PH,6.0833,118.3,80.2,79,100,4.81,overcast clouds
180,Walvis Bay,NA,-22.9575,14.5053,63.09,86,2,5.7,clear sky
181,Iracoubo,GF,5.4802,-53.2011,77.61,85,96,12.86,overcast clouds
182,Dukat,RU,62.55,155.55,1.13,93,98,5.23,overcast clouds
183,Vila,PT,42.0304,-8.1588,50.88,75,85,3.74,overcast clouds
184,Usogorsk,RU,63.4106,48.6872,10.08,94,100,11.45,light snow
