City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
492,Jacareacanga,BR,75.13,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
494,Ocos,GT,86.18,broken clouds,14.5094,-92.1933,Auto Hotel El Soñador
499,Faanui,PF,82.36,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
506,Caravelas,BR,76.08,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
508,Sembakung,ID,75.56,overcast clouds,3.8167,117.25,
512,Oriximina,BR,76.21,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
514,Chau Doc,VN,81.28,overcast clouds,10.7,105.1167,JADE AND SAPPHIRE GUESTHOUSE
519,Omboue,GA,77.97,moderate rain,-1.5746,9.2618,Hotel Olako
522,Mahajanga,MG,77.02,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
525,Cravo Norte,CO,86.83,overcast clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
527,Kokoda,PG,86.4,broken clouds,-8.8785,147.7407,Daito Guest House
529,Pujehun,SL,80.46,overcast clouds,7.3581,-11.7208,Fanny Guesthouse
538,Santiago,CL,75.16,clear sky,-33.4569,-70.6483,Hotel Panamericano
539,Yarada,IN,79.12,mist,17.65,83.2667,Yarada Jungle Beach Resorts
541,Port Hedland,AU,86.05,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
544,Poso,ID,82.96,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
546,Meulaboh,ID,76.5,overcast clouds,4.1363,96.1285,Kost Pria
553,Guanambi,BR,75.06,overcast clouds,-14.2233,-42.7814,Hotel Portal Guanambi
557,Sri Aman,MY,75.25,few clouds,1.2376,111.4621,Seri Simanggang Hotel
558,Xuddur,SO,75.33,scattered clouds,4.1213,43.8894,Banjanay Hotel
561,Maragogi,BR,78.57,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
564,Sinnamary,GF,77.47,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
565,Port-Gentil,GA,81.66,broken clouds,-0.7193,8.7815,Fengshui Residence
573,Porto Novo,BJ,84.02,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
574,Kolaras,IN,75.97,clear sky,25.2333,77.6,Shiv Shakti Garden (Gayatri Colony)
577,Kongoussi,BF,86.13,overcast clouds,13.3258,-1.5347,Hôtel La Sagesse
590,Quatre Cocos,MU,76.08,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
591,Riverton,US,76.1,clear sky,40.5219,-111.9391,Ramada by Wyndham Draper
599,Kapoeta,SS,81.5,broken clouds,4.7717,33.5903,Eastgate Hotel
601,Kidal,ML,80.46,scattered clouds,18.4411,1.4078,
602,Pitiquito,MX,86.13,scattered clouds,30.7,-112.0833,La Víspera
606,Matara,LK,76.24,few clouds,5.9485,80.5353,Amaloh Boutique Resort
607,Lagos,NG,84.52,clear sky,6.5833,3.75,
608,Ternate,ID,82.0,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
609,Tecoanapa,MX,82.09,overcast clouds,16.5167,-98.75,Hotel Manglares
613,Yeppoon,AU,82.18,scattered clouds,-23.1333,150.7333,Villa Mar Colina
619,Buin,CL,76.05,overcast clouds,-33.7333,-70.75,Paihuen
629,Boyolangu,ID,77.79,overcast clouds,-8.1181,111.8935,Yos ega cv
632,Kavaratti,IN,82.24,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
636,Upington,ZA,75.58,clear sky,-28.4478,21.2561,River Place Manor
638,Amalapuram,IN,76.69,broken clouds,16.5833,82.0167,swayamprabha service apartments
645,Bubaque,GW,76.5,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
652,Itaituba,BR,75.69,overcast clouds,-4.2761,-55.9836,Hotel Campos
671,Porbandar,IN,79.02,clear sky,21.6422,69.6093,Lords Inn Porbandar
673,Dzilam Gonzalez,MX,76.57,clear sky,21.2833,-88.9333,posadas
674,La Gomera,GT,85.71,overcast clouds,14.0833,-91.05,Cede.E.T.V
675,Manta,EC,78.76,overcast clouds,-0.95,-80.7333,Balandra Hotel
679,West Bay,KY,78.87,broken clouds,19.3667,-81.4167,Calypso Cove
680,Ugoofaaru,MV,82.92,broken clouds,5.6667,73.0,Ungoofaaru Inn
681,Mahibadhoo,MV,81.28,overcast clouds,3.7833,72.9667,Omadhoo Inn
685,Elmina,GH,80.98,broken clouds,5.0898,-1.348,Esteem Kofi and Adjoa Guesthouse
690,Dhidhdhoo,MV,82.13,few clouds,6.8833,73.1,Dhidhoo beach
694,Sarangani,PH,81.34,broken clouds,5.4033,125.4636,Ballistic Islet
697,Grand Gaube,MU,76.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
700,Balabac,PH,80.31,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
701,Quelimane,MZ,78.75,few clouds,-17.8786,36.8883,Hotel Flamingo
702,Tawau,MY,78.93,overcast clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
705,Gangakher,IN,82.35,few clouds,18.95,76.75,Saraswati niwas
707,Bara,NG,77.32,few clouds,10.3744,10.7288,
708,Barra Patuca,HN,76.35,overcast clouds,15.8,-84.2833,
712,Oranjestad,AW,80.55,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
